product_id,category,color1,color2,color3,color4,color5
80,T-shirt/top|Pullover|Shirt,Rosy Brown,Dark Salmon,Light Coral,Dark Gray,Tan
81,T-shirt/top|Pullover|Shirt,Silver,Dark Gray,Lightsteel Blue,Thistle,Sky Blue
82,T-shirt/top|Pullover|Shirt,Gainsboro,Light Gray,Lavender,Light Blue,Misty Rose
83,T-shirt/top|Pullover|Shirt,Rosy Brown,Dark Gray,Gray,Light Slate Gray,Dark Salmon
84,T-shirt/top|Pullover|Shirt,Rosy Brown,Dark Gray,Gray,Light Slate Gray,Cadet Blue
85,T-shirt/top|Pullover|Shirt,Gray,Light Slate Gray,Slate Gray,Rosy Brown,Dim Gray
86,T-shirt/top|Pullover|Shirt,Silver,Dark Gray,Tan,Thistle,Lightsteel Blue
87,T-shirt/top|Pullover|Shirt,Dark Gray,Silver,Lightsteel Blue,Rosy Brown,Thistle
88,T-shirt/top|Pullover|Shirt,Silver,Tan,Burly Wood,Light Gray,Thistle
89,T-shirt/top|Pullover|Shirt,Rosy Brown,Gray,Light Slate Gray,Slate Gray,Dark Gray
90,T-shirt/top|Pullover|Shirt,Gray,Light Slate Gray,Slate Gray,Dim Gray,Cadet Blue
91,T-shirt/top|Pullover|Shirt,Rosy Brown,Gray,Peru,Light Slate Gray,Dark Salmon
92,T-shirt/top|Pullover|Shirt,Rosy Brown,Gray,Light Slate Gray,Dark Gray,Slate Gray
93,T-shirt/top|Pullover|Shirt,Rosy Brown,Gray,Light Slate Gray,Slate Gray,Dark Gray
94,T-shirt/top|Pullover|Shirt,Pink,Light Pink,Thistle,Light Gray,Silver
95,T-shirt/top|Pullover|Shirt,Peru,Rosy Brown,Indian Red,Dark Goldenrod,Sienna
96,T-shirt/top|Pullover|Shirt,Rosy Brown,Gray,Light Slate Gray,Slate Gray,Dark Gray
97,T-shirt/top|Pullover|Shirt,Silver,Dark Gray,Lightsteel Blue,Thistle,Tan
98,T-shirt/top|Pullover|Shirt,Gray,Rosy Brown,Light Slate Gray,Slate Gray,Dim Gray
99,T-shirt/top|Pullover|Shirt,Rosy Brown,Gray,Light Slate Gray,Slate Gray,Dark Gray
100,T-shirt/top|Pullover|Shirt,Silver,Tan,Dark Gray,Thistle,Burly Wood
101,T-shirt/top|Pullover|Shirt,Dark Gray,Rosy Brown,Tan,Dark Salmon,Silver
102,T-shirt/top|Pullover|Shirt,Silver,Tan,Dark Gray,Burly Wood,Thistle
103,T-shirt/top|Pullover|Shirt,Dark Gray,Silver,Rosy Brown,Tan,Thistle
104,T-shirt/top|Pullover|Shirt,Dim Gray,Gray,Slate Gray,Darkolive Green,Sienna
105,T-shirt/top|Pullover|Shirt,Gray,Rosy Brown,Light Slate Gray,Slate Gray,Cadet Blue
106,T-shirt/top|Pullover|Shirt,Light Slate Gray,Rosy Brown,Gray,Dark Gray,Cadet Blue
107,T-shirt/top|Pullover|Shirt,Rosy Brown,Light Slate Gray,Gray,Dark Gray,Slate Gray
108,T-shirt/top|Pullover|Shirt,Silver,Light Gray,Thistle,Lightsteel Blue,Light Blue
109,T-shirt/top|Pullover|Shirt,Silver,Light Gray,Lightsteel Blue,Thistle,Light Blue
110,T-shirt/top|Pullover|Shirt,Gray,Light Slate Gray,Slate Gray,Rosy Brown,Cadet Blue
111,T-shirt/top|Pullover|Shirt,Gray,Light Slate Gray,Slate Gray,Rosy Brown,Cadet Blue
112,T-shirt/top|Pullover|Shirt,Rosy Brown,Dark Gray,Tan,Silver,Dark Salmon
113,T-shirt/top|Pullover|Shirt,Dark Gray,Silver,Tan,Lightsteel Blue,Rosy Brown
114,T-shirt/top|Pullover|Shirt,Light Gray,Gainsboro,Misty Rose,Lavender,Peachpuff
115,T-shirt/top|Pullover|Shirt,Tan,Silver,Burly Wood,Dark Gray,Light Gray
116,T-shirt/top|Pullover|Shirt,Slate Gray,Light Slate Gray,Gray,Steel Blue,Dim Gray
117,T-shirt/top|Pullover|Shirt,Rosy Brown,Light Slate Gray,Gray,Slate Gray,Dark Gray
118,T-shirt/top|Pullover|Shirt,White Smoke,Linen,Alice Blue,Lavender Blush,Ghost White
119,T-shirt/top|Pullover|Shirt,Dark Salmon,Rosy Brown,Tan,Light Coral,Dark Gray
120,T-shirt/top|Pullover|Shirt,Indian Red,Sienna,Pale Violet Red,Rosy Brown,Light Coral
121,T-shirt/top|Pullover|Shirt,Dark Gray,Rosy Brown,Tan,Silver,Dark Salmon
122,T-shirt/top|Pullover|Shirt,Dark Gray,Rosy Brown,Tan,Silver,Dark Salmon
123,T-shirt/top|Pullover|Shirt,Peru,Dark Goldenrod,Goldenrod,Dark Khaki,Sandy Brown
124,T-shirt/top|Pullover|Shirt,Tan,Silver,Dark Gray,Burly Wood,Thistle
125,T-shirt/top|Pullover|Shirt,Light Gray,Gainsboro,Misty Rose,Lavender,Peachpuff
126,T-shirt/top|Pullover|Shirt,Light Gray,Silver,Gainsboro,Thistle,Light Blue
127,T-shirt/top|Pullover|Shirt,Dark Gray,Silver,Lightsteel Blue,Thistle,Tan
128,T-shirt/top|Pullover|Shirt,Light Gray,Silver,Gainsboro,Thistle,Pink
129,T-shirt/top|Pullover|Shirt,Dim Gray,Gray,Slate Gray,Dark Slate Gray,Light Slate Gray
130,T-shirt/top|Pullover|Shirt,Dark Gray,Rosy Brown,Silver,Tan,Lightsteel Blue
131,T-shirt/top|Pullover|Shirt,Dark Salmon,Rosy Brown,Tan,Light Coral,Peru
132,T-shirt/top|Pullover|Shirt,Rosy Brown,Dark Gray,Tan,Dark Sea Green,Cadet Blue
133,T-shirt/top|Pullover|Shirt,Silver,Thistle,Light Pink,Pink,Tan
134,T-shirt/top|Pullover|Shirt,Dark Gray,Tan,Silver,Rosy Brown,Burly Wood
135,T-shirt/top|Pullover|Shirt,Dark Gray,Rosy Brown,Silver,Cadet Blue,Tan
136,T-shirt/top|Pullover|Shirt,Sienna,Dim Gray,Saddle Brown,Gray,Darkolive Green
137,T-shirt/top|Pullover|Shirt,Silver,Tan,Dark Gray,Burly Wood,Thistle
138,T-shirt/top|Pullover|Shirt,Gainsboro,Light Gray,Lavender,Light Blue,Misty Rose
139,T-shirt/top|Pullover|Shirt,Silver,Light Gray,Thistle,Lightsteel Blue,Gainsboro
140,T-shirt/top|Pullover|Shirt,Light Gray,Silver,Thistle,Gainsboro,Lightsteel Blue
141,T-shirt/top|Pullover|Shirt,Rosy Brown,Gray,Dark Gray,Light Slate Gray,Cadet Blue
142,T-shirt/top|Pullover|Shirt,Silver,Lightsteel Blue,Dark Gray,Thistle,Sky Blue
143,T-shirt/top|Pullover|Shirt,Tan,Silver,Burly Wood,Dark Gray,Light Pink
144,T-shirt/top|Pullover|Shirt,Dark Gray,Silver,Lightsteel Blue,Thistle,Rosy Brown
145,T-shirt/top|Pullover|Shirt,Dark Gray,Silver,Rosy Brown,Tan,Lightsteel Blue
146,T-shirt/top|Pullover|Shirt,Dark Gray,Rosy Brown,Silver,Lightsteel Blue,Cadet Blue
147,T-shirt/top|Pullover|Shirt,Light Gray,Gainsboro,Silver,Peachpuff,Pink
148,T-shirt/top|Pullover|Shirt,Silver,Light Gray,Thistle,Gainsboro,Lightsteel Blue
149,T-shirt/top|Pullover|Shirt,Silver,Tan,Burly Wood,Dark Gray,Light Gray
150,T-shirt/top|Pullover|Shirt,Tan,Dark Gray,Dark Khaki,Burly Wood,Dark Sea Green
151,T-shirt/top|Pullover|Shirt,Light Slate Gray,Gray,Slate Gray,Cadet Blue,Rosy Brown
152,T-shirt/top|Pullover|Shirt,Silver,Dark Gray,Tan,Lightsteel Blue,Dark Sea Green
153,T-shirt/top|Pullover|Shirt,Rosy Brown,Dark Gray,Light Slate Gray,Cadet Blue,Gray
154,T-shirt/top|Pullover|Shirt,Dark Gray,Tan,Silver,Rosy Brown,Burly Wood
155,T-shirt/top|Pullover|Shirt,Dark Khaki,Tan,Burly Wood,Dark Sea Green,Silver
156,T-shirt/top|Pullover|Shirt,Gray,Light Slate Gray,Slate Gray,Rosy Brown,Cadet Blue
157,T-shirt/top|Pullover|Shirt,Dark Gray,Silver,Thistle,Lightsteel Blue,Tan
158,T-shirt/top|Pullover|Shirt,Dark Gray,Tan,Silver,Rosy Brown,Burly Wood
159,T-shirt/top|Pullover|Shirt,Rosy Brown,Gray,Light Slate Gray,Dark Gray,Cadet Blue
160,T-shirt/top|Pullover|Shirt,Dark Gray,Rosy Brown,Tan,Silver,Dark Salmon
161,T-shirt/top|Pullover|Shirt,Silver,Tan,Burly Wood,Pink,Light Pink
162,T-shirt/top|Pullover|Shirt,Dark Gray,Tan,Silver,Rosy Brown,Burly Wood
163,T-shirt/top|Pullover|Shirt,Silver,Tan,Dark Gray,Burly Wood,Thistle
164,T-shirt/top|Pullover|Shirt,Light Slate Gray,Slate Gray,Gray,Cadet Blue,Steel Blue
165,T-shirt/top|Pullover|Shirt,Dark Gray,Silver,Lightsteel Blue,Tan,Rosy Brown
166,T-shirt/top|Pullover|Shirt,Gainsboro,Misty Rose,Lavender,Antique White,Linen
167,T-shirt/top|Pullover|Shirt,Light Slate Gray,Gray,Slate Gray,Rosy Brown,Cadet Blue
168,T-shirt/top|Pullover|Shirt,Peru,Dark Goldenrod,Olive,Olive Drab,Rosy Brown
169,T-shirt/top|Pullover|Shirt,Dim Gray,Gray,Slate Gray,Darkolive Green,Light Slate Gray
170,T-shirt/top|Pullover|Shirt,Peru,Light Coral,Indian Red,Salmon,Dark Salmon
171,T-shirt/top|Pullover|Shirt,Dark Gray,Rosy Brown,Tan,Cadet Blue,Silver
172,T-shirt/top|Pullover|Shirt,Silver,Light Gray,Thistle,Gainsboro,Lightsteel Blue
173,T-shirt/top|Pullover|Shirt,Gray,Light Slate Gray,Slate Gray,Cadet Blue,Rosy Brown
174,T-shirt/top|Pullover|Shirt,Silver,Dark Gray,Tan,Thistle,Lightsteel Blue
175,T-shirt/top|Pullover|Shirt,Gray,Light Slate Gray,Slate Gray,Rosy Brown,Cadet Blue
176,T-shirt/top|Pullover|Shirt,Dark Gray,Rosy Brown,Silver,Lightsteel Blue,Cadet Blue
177,T-shirt/top|Pullover|Shirt,Gray,Light Slate Gray,Slate Gray,Cadet Blue,Rosy Brown
178,T-shirt/top|Pullover|Shirt,Dark Gray,Rosy Brown,Silver,Tan,Burly Wood
179,T-shirt/top|Pullover|Shirt,Rosy Brown,Dark Salmon,Light Coral,Salmon,Dark Gray
180,T-shirt/top|Pullover|Shirt,Gray,Light Slate Gray,Rosy Brown,Slate Gray,Cadet Blue
181,T-shirt/top|Pullover|Shirt,Dark Gray,Rosy Brown,Cadet Blue,Light Slate Gray,Silver
182,T-shirt/top|Pullover|Shirt,Dark Gray,Rosy Brown,Tan,Dark Salmon,Silver
183,T-shirt/top|Pullover|Shirt,Dark Gray,Rosy Brown,Silver,Tan,Thistle
184,T-shirt/top|Pullover|Shirt,Dark Gray,Silver,Tan,Lightsteel Blue,Thistle
185,T-shirt/top|Pullover|Shirt,Rosy Brown,Gray,Light Slate Gray,Pale Violet Red,Slate Gray
186,T-shirt/top|Pullover|Shirt,Dim Gray,Gray,Slate Gray,Light Slate Gray,Steel Blue
187,T-shirt/top|Pullover|Shirt,Rosy Brown,Dark Gray,Tan,Dark Salmon,Silver
188,T-shirt/top|Pullover|Shirt,Tan,Silver,Burly Wood,Pink,Light Pink
189,T-shirt/top|Pullover|Shirt,Gray,Slate Gray,Dim Gray,Light Slate Gray,Teal
190,T-shirt/top|Pullover|Shirt,Dark Gray,Rosy Brown,Cadet Blue,Light Slate Gray,Gray
191,T-shirt/top|Pullover|Shirt,Lightsteel Blue,Thistle,Silver,Dark Gray,Sky Blue
192,T-shirt/top|Pullover|Shirt,White Smoke,Linen,Alice Blue,Lavender Blush,Ghost White
193,T-shirt/top|Pullover|Shirt,Silver,Dark Gray,Tan,Thistle,Lightsteel Blue
194,T-shirt/top|Pullover|Shirt,Silver,Lightsteel Blue,Thistle,Light Gray,Light Blue
195,T-shirt/top|Pullover|Shirt,Sienna,Dim Gray,Indian Red,Gray,Slate Gray
196,T-shirt/top|Pullover|Shirt,Silver,Tan,Dark Gray,Thistle,Burly Wood
197,T-shirt/top|Pullover|Shirt,Tan,Silver,Burly Wood,Dark Gray,Light Pink
198,T-shirt/top|Pullover|Shirt,Dark Gray,Tan,Silver,Rosy Brown,Burly Wood
199,T-shirt/top|Pullover|Shirt,Gainsboro,Lavender,Light Gray,Powder Blue,Light Blue
200,T-shirt/top|Pullover|Shirt,Silver,Lightsteel Blue,Dark Gray,Thistle,Light Gray
201,T-shirt/top|Pullover|Shirt,Rosy Brown,Dark Gray,Silver,Thistle,Plum
202,T-shirt/top|Pullover|Shirt,Dark Gray,Silver,Tan,Rosy Brown,Lightsteel Blue
203,T-shirt/top|Pullover|Shirt,Dark Gray,Silver,Rosy Brown,Tan,Lightsteel Blue
204,T-shirt/top|Pullover|Shirt,Dark Gray,Rosy Brown,Tan,Cadet Blue,Silver
205,T-shirt/top|Pullover|Shirt,Dark Slate Gray,Dim Gray,Darkolive Green,Teal,Gray
206,T-shirt/top|Pullover|Shirt,Pale Violet Red,Indian Red,Rosy Brown,Hot Pink,Orchids
207,T-shirt/top|Pullover|Shirt,Rosy Brown,Gray,Light Slate Gray,Slate Gray,Dark Gray
208,T-shirt/top|Pullover|Shirt,Gray,Light Slate Gray,Slate Gray,Rosy Brown,Steel Blue
209,T-shirt/top|Pullover|Shirt,Dark Slate Gray,Dim Gray,Darkolive Green,Teal,Gray
210,T-shirt/top|Pullover|Shirt,Dark Gray,Silver,Tan,Thistle,Rosy Brown
211,T-shirt/top|Pullover|Shirt,Rosy Brown,Peru,Gray,Dark Salmon,Dark Goldenrod
212,T-shirt/top|Pullover|Shirt,Rosy Brown,Gray,Light Slate Gray,Slate Gray,Dark Gray
213,T-shirt/top|Pullover|Shirt,Silver,Dark Gray,Lightsteel Blue,Thistle,Sky Blue
214,T-shirt/top|Pullover|Shirt,Dark Gray,Rosy Brown,Silver,Tan,Lightsteel Blue
215,T-shirt/top|Pullover|Shirt,Gray,Light Slate Gray,Slate Gray,Rosy Brown,Dim Gray
216,T-shirt/top|Pullover|Shirt,Tan,Dark Salmon,Dark Gray,Rosy Brown,Burly Wood
217,T-shirt/top|Pullover|Shirt,Silver,Dark Gray,Tan,Thistle,Lightsteel Blue
218,T-shirt/top|Pullover|Shirt,Gray,Slate Gray,Light Slate Gray,Dim Gray,Rosy Brown
219,T-shirt/top|Pullover|Shirt,Dark Gray,Rosy Brown,Tan,Silver,Dark Salmon
220,T-shirt/top|Pullover|Shirt,Tan,Dark Salmon,Burly Wood,Rosy Brown,Dark Gray
221,T-shirt/top|Pullover|Shirt,Silver,Tan,Burly Wood,Pink,Light Pink
222,T-shirt/top|Pullover|Shirt,Gray,Rosy Brown,Light Slate Gray,Slate Gray,Cadet Blue
223,T-shirt/top|Pullover|Shirt,Gainsboro,Light Gray,Misty Rose,Powder Blue,Lavender
224,T-shirt/top|Pullover|Shirt,Rosy Brown,Gray,Dark Gray,Pale Violet Red,Light Slate Gray
225,T-shirt/top|Pullover|Shirt,Silver,Dark Gray,Tan,Burly Wood,Thistle
226,T-shirt/top|Pullover|Shirt,Rosy Brown,Dark Gray,Dark Salmon,Tan,Gray
227,T-shirt/top|Pullover|Shirt,Dim Gray,Dark Slate Gray,Darkolive Green,Sienna,Gray
228,T-shirt/top|Pullover|Shirt,Dark Gray,Rosy Brown,Tan,Cadet Blue,Gray
229,T-shirt/top|Pullover|Shirt,Silver,Thistle,Light Gray,Lightsteel Blue,Pink
230,T-shirt/top|Pullover|Shirt,Light Slate Gray,Dark Gray,Cadet Blue,Rosy Brown,Gray
231,T-shirt/top|Pullover|Shirt,Gray,Dim Gray,Slate Gray,Light Slate Gray,Teal
232,T-shirt/top|Pullover|Shirt,Dark Gray,Rosy Brown,Silver,Thistle,Plum
233,T-shirt/top|Pullover|Shirt,Dark Slate Gray,Dim Gray,Darkolive Green,Teal,Gray
234,T-shirt/top|Pullover|Shirt,Dim Gray,Slate Gray,Gray,Light Slate Gray,Steel Blue
235,T-shirt/top|Pullover|Shirt,Gray,Rosy Brown,Light Slate Gray,Slate Gray,Cadet Blue
236,T-shirt/top|Pullover|Shirt,Gray,Light Slate Gray,Slate Gray,Cadet Blue,Rosy Brown
237,T-shirt/top|Pullover|Shirt,Dim Gray,Gray,Darkolive Green,Sienna,Slate Gray
238,T-shirt/top|Pullover|Shirt,Light Gray,Silver,Gainsboro,Thistle,Light Blue
239,T-shirt/top|Pullover|Shirt,Gray,Slate Gray,Light Slate Gray,Rosy Brown,Dim Gray
240,T-shirt/top|Pullover|Shirt,Gray,Light Slate Gray,Slate Gray,Dim Gray,Cadet Blue
241,T-shirt/top|Pullover|Shirt,Silver,Light Gray,Thistle,Tan,Lightsteel Blue
242,T-shirt/top|Pullover|Shirt,Dark Salmon,Tan,Rosy Brown,Burly Wood,Light Salmon
243,T-shirt/top|Pullover|Shirt,Gray,Slate Gray,Light Slate Gray,Dim Gray,Steel Blue
244,T-shirt/top|Pullover|Shirt,Dark Gray,Rosy Brown,Cadet Blue,Light Slate Gray,Tan
245,T-shirt/top|Pullover|Shirt,Silver,Dark Gray,Thistle,Lightsteel Blue,Tan
246,T-shirt/top|Pullover|Shirt,Gainsboro,Light Gray,Lavender,Powder Blue,Misty Rose
247,T-shirt/top|Pullover|Shirt,Light Slate Gray,Gray,Slate Gray,Rosy Brown,Cadet Blue
248,T-shirt/top|Pullover|Shirt,Silver,Thistle,Lightsteel Blue,Dark Gray,Tan
249,T-shirt/top|Pullover|Shirt,Silver,Dark Gray,Tan,Lightsteel Blue,Light Gray
250,T-shirt/top|Pullover|Shirt,Dark Gray,Silver,Tan,Rosy Brown,Lightsteel Blue
251,T-shirt/top|Pullover|Shirt,Dark Gray,Rosy Brown,Silver,Lightsteel Blue,Thistle
252,T-shirt/top|Pullover|Shirt,Rosy Brown,Dark Gray,Gray,Light Slate Gray,Cadet Blue
253,T-shirt/top|Pullover|Shirt,Rosy Brown,Gray,Light Slate Gray,Slate Gray,Dark Gray
254,T-shirt/top|Pullover|Shirt,Rosy Brown,Gray,Dark Gray,Light Slate Gray,Cadet Blue
255,T-shirt/top|Pullover|Shirt,Light Gray,Gainsboro,Powder Blue,Light Blue,Silver
256,T-shirt/top|Pullover|Shirt,Dark Gray,Tan,Silver,Rosy Brown,Burly Wood
257,T-shirt/top|Pullover|Shirt,Dark Gray,Rosy Brown,Tan,Silver,Cadet Blue
258,T-shirt/top|Pullover|Shirt,Dark Gray,Rosy Brown,Tan,Silver,Cadet Blue
259,T-shirt/top|Pullover|Shirt,Silver,Thistle,Light Gray,Lightsteel Blue,Pink
260,T-shirt/top|Pullover|Shirt,Dark Salmon,Rosy Brown,Tan,Light Coral,Peru
261,T-shirt/top|Pullover|Shirt,Dark Gray,Silver,Rosy Brown,Thistle,Lightsteel Blue
262,T-shirt/top|Pullover|Shirt,Silver,Tan,Thistle,Light Gray,Dark Gray
263,T-shirt/top|Pullover|Shirt,Rosy Brown,Dark Gray,Dark Salmon,Light Coral,Tan
264,T-shirt/top|Pullover|Shirt,Gray,Slate Gray,Dim Gray,Light Slate Gray,Rosy Brown
265,T-shirt/top|Pullover|Shirt,Light Slate Gray,Slate Gray,Cadet Blue,Gray,Steel Blue
266,T-shirt/top|Pullover|Shirt,Peru,Dark Salmon,Rosy Brown,Tan,Dark Khaki
